url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images,9,7
/EOL/computer-vision-with-EOL-images/tree/master/play_for_beginners,7,4
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping,1,1
