url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/blob/master/classification_for_image_tagging/image_type/inspect_train_results.ipynb,3,1
/aubricot/computer_vision_with_eol_images/blob/master/classification_for_image_tagging/image_type/image_type_preprocessing.ipynb,2,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,2,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,2,1
/aubricot/computer_vision_with_eol_images,1,1
