url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,25,7
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,13,3
/aubricot/computer_vision_with_eol_images/pulse,4,2
/aubricot/computer_vision_with_eol_images/blob/f1ad29f800fb27182940c3ce64b4e56f0db569bb/object_detection_for_image_cropping/multitaxa/multitaxa_generate_crops_tf2.ipynb,4,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/multitaxa/multitaxa_generate_crops_tf2.ipynb,4,1
/aubricot/computer_vision_with_eol_images/edit/master/object_detection_for_image_cropping/README.md,4,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,4,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/multitaxa,4,1
/aubricot/computer_vision_with_eol_images/tree/master/utils,4,1
/aubricot/computer_vision_with_eol_images/wiki,4,1
