url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,29,4
/aubricot/computer_vision_with_eol_images/commits/master,22,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,20,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,13,3
/aubricot/computer_vision_with_eol_images/issues/9,8,5
/aubricot/computer_vision_with_eol_images/pulse,7,2
/aubricot/computer_vision_with_eol_images/issues,6,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,6,2
/aubricot/computer_vision_with_eol_images/wiki,6,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,5,4
