url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,62,2
/aubricot/computer_vision_with_eol_images,28,2
/aubricot/computer_vision_with_eol_images/tree/master,18,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,16,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/multitaxa,15,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,13,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/lepidoptera,12,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,11,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/helper_funcs,11,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/chiroptera/chiroptera_generate_crops_tf2.ipynb,9,1
