url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,22,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,17,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,13,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,13,2
/aubricot/computer_vision_with_eol_images/tree/master,9,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,8,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/chiroptera/chiroptera_generate_crops_tf2.ipynb,7,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/rating,6,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/helper_funcs,5,2
/aubricot/computer_vision_with_eol_images/upload,5,1
