url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,18,1
/aubricot/computer_vision_with_eol_images/tree/master,11,1
/aubricot/computer_vision_with_eol_images,7,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,6,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/rating,6,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,5,1
/aubricot/computer_vision_with_eol_images/issues/new,4,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/helper_funcs,4,1
/aubricot/computer_vision_with_eol_images/upload,4,1
/aubricot/computer_vision_with_eol_images/blob/master/classification_for_image_tagging/image_type/inspect_train_results.ipynb,3,1
