url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,78,2
/aubricot/computer_vision_with_eol_images/tree/master,39,2
/aubricot/computer_vision_with_eol_images,34,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,24,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,22,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/multitaxa,19,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,15,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/lepidoptera,14,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/rating,12,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,12,1
