url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,21,4
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,15,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,7,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,7,2
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/chiroptera/chiroptera_train_tf2_ssd_rcnn.ipynb,5,2
/aubricot/computer_vision_with_eol_images/issues,5,2
/aubricot/computer_vision_with_eol_images/issues/7,5,2
/aubricot/computer_vision_with_eol_images/pulse,3,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/rating,3,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/lepidoptera,3,2
