time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-02 00:00:00+00:00,2,2,54.0,1.0
2025-09-03 00:00:00+00:00,5,5,10.0,1.0
2025-09-04 00:00:00+00:00,1,1,,
2025-09-05 00:00:00+00:00,5,5,,
2025-09-06 00:00:00+00:00,4,4,,
2025-09-07 00:00:00+00:00,5,4,54.0,2.0
2025-09-08 00:00:00+00:00,4,4,47.0,1.0
2025-09-09 00:00:00+00:00,4,4,85.0,1.0
2025-09-10 00:00:00+00:00,2,2,2.0,2.0
2025-09-11 00:00:00+00:00,5,4,18.0,2.0
2025-09-12 00:00:00+00:00,9,9,53.0,1.0
2025-09-13 00:00:00+00:00,13,12,84.0,1.0
2025-09-14 00:00:00+00:00,11,11,117.0,1.0
2025-09-15 00:00:00+00:00,6,2,37.0,2.0
