url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,20,2
/aubricot/computer_vision_with_eol_images,19,5
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/helper_funcs,10,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,9,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,6,2
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/README.md,4,2
/aubricot/computer_vision_with_eol_images/pulse,4,2
/aubricot/computer_vision_with_eol_images/pulse/monthly,4,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,4,2
/aubricot/computer_vision_with_eol_images/tree/master,4,1
