url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master,5,1
/aubricot/computer_vision_with_eol_images/tree/master/play_for_beginners,2,1
/aubricot/computer_vision_with_eol_images/blob/master/play_for_beginners/yolo_demo_v2.ipynb,1,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,1,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/play_for_beginners,1,1
/aubricot/computer_vision_with_eol_images/tree/master/utils,1,1
