url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,39,2
/aubricot/computer_vision_with_eol_images,27,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/helper_funcs,20,2
/aubricot/computer_vision_with_eol_images/tree/master,13,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,12,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,11,2
/aubricot/computer_vision_with_eol_images/upload,11,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/aves,10,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,7,1
/aubricot/computer_vision_with_eol_images/upload/master/object_detection_for_image_cropping/helper_funcs,7,1
