url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,71,5
/aubricot/computer_vision_with_eol_images/tree/master/utils,24,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,22,1
/aubricot/computer_vision_with_eol_images/issues,13,1
/aubricot/computer_vision_with_eol_images/wiki,12,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,11,1
/aubricot/computer_vision_with_eol_images/edit/master/README.md,8,1
/aubricot/computer_vision_with_eol_images/pulse,8,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/chiroptera/chiroptera_train_tf2_ssd_rcnn.ipynb,7,1
/aubricot/computer_vision_with_eol_images/blob/master/utils/generate_requirements_txt.ipynb,7,1
