url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,21,2
/aubricot/computer_vision_with_eol_images,18,3
/aubricot/computer_vision_with_eol_images/tree/master,12,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,9,2
/aubricot/computer_vision_with_eol_images/issues,8,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging/helper_funcs,7,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/data_files,4,2
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_tagging/flower_fruit/flower_fruit_generate_tags_yolov3.ipynb,4,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_tagging/life_stages/insect_life_stages_generate_tags_yolov3.ipynb,4,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging/flower_fruit,4,1
