url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,7,2
/aubricot/computer_vision_with_eol_images,6,3
/aubricot/computer_vision_with_eol_images/tree/master,6,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,3,2
/aubricot/computer_vision_with_eol_images/issues,3,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging/helper_funcs,3,1
/aubricot/computer_vision_with_eol_images/issues/11,2,2
/aubricot/computer_vision_with_eol_images/blob/master/classification_for_image_tagging/image_type/classify_images.ipynb,2,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_tagging/flower_fruit/flower_fruit_generate_tags_yolov3.ipynb,2,1
/aubricot/computer_vision_with_eol_images/upload,2,1
