url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,66,2
/aubricot/computer_vision_with_eol_images/tree/master,49,2
/aubricot/computer_vision_with_eol_images,28,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,27,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,20,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,19,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,16,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/rating,12,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/multitaxa,12,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/aves,9,2
