time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-31 00:00:00+00:00,4,2,1.0,1.0
2025-02-01 00:00:00+00:00,6,3,9.0,1.0
2025-02-02 00:00:00+00:00,24,10,101.0,1.0
2025-02-03 00:00:00+00:00,9,5,53.0,1.0
2025-02-04 00:00:00+00:00,9,6,64.0,1.0
2025-02-05 00:00:00+00:00,7,4,70.0,1.0
2025-02-06 00:00:00+00:00,4,2,19.0,1.0
2025-02-07 00:00:00+00:00,11,7,17.0,1.0
2025-02-08 00:00:00+00:00,4,2,27.0,1.0
2025-02-09 00:00:00+00:00,6,3,11.0,1.0
2025-02-10 00:00:00+00:00,1,1,,
2025-02-11 00:00:00+00:00,6,4,101.0,1.0
2025-02-12 00:00:00+00:00,9,5,19.0,1.0
2025-02-13 00:00:00+00:00,2,2,21.0,1.0
