time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-02 00:00:00+00:00,7.0,5.0,46.0,1.0
2022-09-03 00:00:00+00:00,3.0,3.0,,
2022-09-04 00:00:00+00:00,1.0,1.0,,
2022-09-06 00:00:00+00:00,1.0,1.0,37.0,1.0
2022-09-07 00:00:00+00:00,1.0,1.0,5.0,2.0
2022-09-09 00:00:00+00:00,1.0,1.0,,
2022-09-10 00:00:00+00:00,1.0,1.0,,
2022-09-11 00:00:00+00:00,1.0,1.0,,
2022-09-12 00:00:00+00:00,2.0,2.0,21.0,1.0
2022-09-13 00:00:00+00:00,1.0,1.0,,
2022-09-14 00:00:00+00:00,3.0,3.0,101.0,1.0
2022-09-15 00:00:00+00:00,,,7.0,1.0
