url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,3,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,3,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/inspect_crop_data.ipynb,1,1
/aubricot/computer_vision_with_eol_images/blob/master/play_for_beginners/yolo_demo_v2.ipynb,1,1
/aubricot/computer_vision_with_eol_images/issues,1,1
/aubricot/computer_vision_with_eol_images/tree/master/play_for_beginners,1,1
