url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,16,5
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,13,3
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/rating,12,2
/aubricot/computer_vision_with_eol_images/blob/master/classification_for_image_tagging/rating/inspect_train_results.ipynb,10,2
/aubricot/computer_vision_with_eol_images/tree/master/play_for_beginners,7,1
/aubricot/computer_vision_with_eol_images/wiki,6,4
/aubricot/computer_vision_with_eol_images/issues,6,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,5,2
/aubricot/computer_vision_with_eol_images/tree/v0.2.0,5,1
/aubricot/computer_vision_with_eol_images/pulse,4,2
