time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-08 00:00:00+00:00,1,1,,
2023-03-09 00:00:00+00:00,1,1,2.0,1.0
2023-03-10 00:00:00+00:00,1,1,6.0,2.0
2023-03-11 00:00:00+00:00,1,1,,
2023-03-12 00:00:00+00:00,1,1,1.0,1.0
2023-03-13 00:00:00+00:00,3,2,22.0,2.0
2023-03-14 00:00:00+00:00,5,3,7.0,2.0
2023-03-15 00:00:00+00:00,5,3,20.0,4.0
2023-03-16 00:00:00+00:00,9,5,81.0,1.0
2023-03-17 00:00:00+00:00,2,2,,
2023-03-18 00:00:00+00:00,1,1,9.0,2.0
2023-03-19 00:00:00+00:00,2,2,,
2023-03-20 00:00:00+00:00,4,3,,
