url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,7,7
/aubricot/computer_vision_with_eol_images/issues/9,3,3
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,2,2
/aubricot/computer_vision_with_eol_images/blob/4ffa9a59f17f0146041a6e6ac59407ec4f9fa272/classification_for_image_tagging/image_type/classify_images.ipynb,1,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/chiroptera/chiroptera_preprocessing.ipynb,1,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,1,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,1,1
