url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,28,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,15,2
/aubricot/computer_vision_with_eol_images,9,2
/aubricot/computer_vision_with_eol_images/tree/master,9,2
/aubricot/computer_vision_with_eol_images/commits/master,8,2
/aubricot/computer_vision_with_eol_images/blob/master/url,6,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging/flower_fruit,6,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging/human_present,6,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging/life_stages,6,1
/aubricot/computer_vision_with_eol_images/tree/master/play_for_beginners,5,1
