url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/issues,7,2
/aubricot/computer_vision_with_eol_images,4,3
/aubricot/computer_vision_with_eol_images/tree/master/play_for_beginners,4,1
/aubricot/computer_vision_with_eol_images/commits/master,2,2
/aubricot/computer_vision_with_eol_images/issues/new,2,1
/aubricot/computer_vision_with_eol_images/issues/new/choose,2,1
/aubricot/computer_vision_with_eol_images/issues/11,1,1
/aubricot/computer_vision_with_eol_images/issues/7,1,1
