time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-10 00:00:00+00:00,2,2,,
2023-07-11 00:00:00+00:00,7,4,112.0,2.0
2023-07-12 00:00:00+00:00,6,4,143.0,1.0
2023-07-13 00:00:00+00:00,2,2,3.0,1.0
2023-07-14 00:00:00+00:00,3,3,,
2023-07-15 00:00:00+00:00,1,1,,
2023-07-16 00:00:00+00:00,1,1,6.0,1.0
2023-07-17 00:00:00+00:00,2,2,,
2023-07-18 00:00:00+00:00,1,1,19.0,1.0
2023-07-19 00:00:00+00:00,1,1,44.0,3.0
2023-07-20 00:00:00+00:00,1,1,1.0,1.0
2023-07-21 00:00:00+00:00,2,2,2.0,2.0
2023-07-22 00:00:00+00:00,1,1,,
