time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-19 00:00:00+00:00,1,1,,
2023-02-20 00:00:00+00:00,2,2,2.0,2.0
2023-02-21 00:00:00+00:00,7,4,25.0,1.0
2023-02-22 00:00:00+00:00,9,4,113.0,3.0
2023-02-23 00:00:00+00:00,21,8,93.0,1.0
2023-02-24 00:00:00+00:00,3,2,2.0,2.0
2023-02-25 00:00:00+00:00,2,2,,
2023-02-26 00:00:00+00:00,1,1,1.0,1.0
2023-02-27 00:00:00+00:00,1,1,3.0,1.0
2023-02-28 00:00:00+00:00,1,1,,
2023-03-01 00:00:00+00:00,6,3,9.0,1.0
2023-03-02 00:00:00+00:00,8,5,14.0,2.0
2023-03-03 00:00:00+00:00,14,6,67.0,1.0
2023-03-04 00:00:00+00:00,1,1,10.0,1.0
