url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,6,4
/aubricot/computer_vision_with_eol_images/issues/9,4,4
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/rating,4,1
/aubricot/computer_vision_with_eol_images/blob/master/classification_for_image_tagging/rating/classify_images.ipynb,3,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,3,1
/aubricot/computer_vision_with_eol_images/blob/master/classification_for_image_tagging/rating/inspect_train_results.ipynb,2,1
/aubricot/computer_vision_with_eol_images/blob/master/classification_for_image_tagging/rating/rating_preprocessing.ipynb,1,1
/aubricot/computer_vision_with_eol_images/commit/d6e053f039221fd3398730de983a8a9662f3462f,1,1
/aubricot/computer_vision_with_eol_images/issues,1,1
/aubricot/computer_vision_with_eol_images/pulse,1,1
