url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/play_for_beginners,32,3
/aubricot/computer_vision_with_eol_images,21,6
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,21,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,18,3
/aubricot/computer_vision_with_eol_images/blob/master/play_for_beginners/yolo_demo_v2.ipynb,16,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,14,3
/aubricot/computer_vision_with_eol_images/tree/master,12,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,6,3
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/play_for_beginners/squarespace_augment_images.ipynb,6,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/play_for_beginners,6,1
