url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,51,5
/aubricot/computer_vision_with_eol_images/tree/github-repo-stats,28,1
/aubricot/computer_vision_with_eol_images/issues,19,1
/aubricot/computer_vision_with_eol_images/tree/master/.github/ISSUE_TEMPLATE,12,1
/aubricot/computer_vision_with_eol_images/issues/new/choose,10,1
/aubricot/computer_vision_with_eol_images/blob/master/.github/ISSUE_TEMPLATE/submission_form.yml,8,1
/aubricot/computer_vision_with_eol_images/tree/master/ISSUE_TEMPLATE,8,1
/aubricot/computer_vision_with_eol_images/issues/new,7,1
/aubricot/computer_vision_with_eol_images/new/master,7,1
/aubricot/computer_vision_with_eol_images/pulse,7,1
