url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,21,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,10,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,9,1
/aubricot/computer_vision_with_eol_images/pulse,5,1
/aubricot/computer_vision_with_eol_images/tree/github-repo-stats,5,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_tagging/plant_pollinator/plant_poll_generate_tags_yolov3.ipynb,4,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,4,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/lepidoptera,4,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_tagging/human_present/human_present_generate_tags_yolov3.ipynb,3,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging/human_present,3,1
