time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-31 00:00:00+00:00,2,2,,
2022-11-01 00:00:00+00:00,3,3,1.0,1.0
2022-11-02 00:00:00+00:00,3,2,,
2022-11-03 00:00:00+00:00,3,3,,
2022-11-04 00:00:00+00:00,1,1,,
2022-11-05 00:00:00+00:00,1,1,,
2022-11-06 00:00:00+00:00,1,1,,
2022-11-07 00:00:00+00:00,2,2,11.0,1.0
2022-11-08 00:00:00+00:00,1,1,,
2022-11-09 00:00:00+00:00,5,5,6.0,3.0
2022-11-10 00:00:00+00:00,7,5,39.0,2.0
2022-11-11 00:00:00+00:00,3,3,3.0,1.0
2022-11-12 00:00:00+00:00,4,3,,
2022-11-13 00:00:00+00:00,8,5,46.0,2.0
