time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-08 00:00:00+00:00,1,1,,
2022-11-09 00:00:00+00:00,5,5,6.0,3.0
2022-11-10 00:00:00+00:00,7,5,39.0,2.0
2022-11-11 00:00:00+00:00,3,3,3.0,1.0
2022-11-12 00:00:00+00:00,4,3,,
2022-11-13 00:00:00+00:00,9,6,46.0,2.0
2022-11-14 00:00:00+00:00,2,2,20.0,4.0
2022-11-15 00:00:00+00:00,1,1,,
2022-11-16 00:00:00+00:00,2,2,,
2022-11-17 00:00:00+00:00,2,2,2.0,2.0
2022-11-18 00:00:00+00:00,2,2,2.0,2.0
2022-11-19 00:00:00+00:00,3,3,,
2022-11-20 00:00:00+00:00,2,2,,
2022-11-21 00:00:00+00:00,3,2,112.0,1.0
